INFO  - 2017-03-31 07:41:42.764; org.apache.solr.core.SolrCore; [ezp-default] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2017-03-31 07:41:42.764; org.apache.solr.core.SolrCore; [ezp-default] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2017-03-31 07:41:42.778; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr-4.10.4/example/solr/ezp-default/data
INFO  - 2017-03-31 07:41:42.794; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/opt/solr-4.10.4/example/solr/ezp-default/data/index/
INFO  - 2017-03-31 07:41:42.798; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr-4.10.4/example/solr/ezp-default/data/index
INFO  - 2017-03-31 07:41:42.812; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2017-03-31 07:41:42.816; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2017-03-31 07:41:42.817; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2017-03-31 07:41:42.818; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2017-03-31 07:41:42.819; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2017-03-31 07:41:42.906; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2017-03-31 07:41:42.923; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-03-31 07:41:42.924; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-03-31 07:41:42.924; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-03-31 07:41:42.925; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-03-31 07:41:42.928; org.apache.solr.core.RequestHandlers; created ezpublish: solr.SearchHandler
INFO  - 2017-03-31 07:41:42.939; org.apache.solr.core.RequestHandlers; created standard: solr.SearchHandler
INFO  - 2017-03-31 07:41:42.946; org.apache.solr.core.RequestHandlers; created ezfind: org.ezsystems.solr.handler.ezfind.eZFindRequestHandler
INFO  - 2017-03-31 07:41:42.949; org.apache.solr.core.RequestHandlers; created /mlt: solr.MoreLikeThisHandler
